id_producto,nombre,categoria,marca,precio_base_usd
1,Hogar IKEA yP59,Hogar,IKEA,435.51
2,Electrónica Apple FI74,Electrónica,Apple,1271.6
3,Juguetes Lego oH16,Juguetes,Lego,56.38
4,Deportes Wilson VE42,Deportes,Wilson,204.22
5,Hogar Philips Ti24,Hogar,Philips,378.51
6,Juguetes Mattel nD62,Juguetes,Mattel,364.39
7,Deportes Spalding Xp53,Deportes,Spalding,344.5
8,Electrónica Apple QI24,Electrónica,Apple,492.09
9,Deportes Wilson Mw87,Deportes,Wilson,204.66
10,Electrónica Sony iQ36,Electrónica,Sony,295.96
11,Vestuario H&M Vf24,Vestuario,H&M,39.79
12,Electrónica Samsung Jl97,Electrónica,Samsung,1172.48
13,Juguetes Lego pX85,Juguetes,Lego,271.47
14,Vestuario Adidas OF80,Vestuario,Adidas,48.01
15,Hogar IKEA tZ38,Hogar,IKEA,440.29
16,Juguetes Hasbro sQ22,Juguetes,Hasbro,114.83
17,Juguetes Lego ej69,Juguetes,Lego,455.68
18,Vestuario H&M nP03,Vestuario,H&M,107.11
19,Hogar CIC Pf97,Hogar,CIC,136.88
20,Deportes Spalding vl63,Deportes,Spalding,357.34
21,Hogar Rosen xu72,Hogar,Rosen,377.47
22,Electrónica Samsung kh02,Electrónica,Samsung,1386.98
23,Hogar Rosen ak89,Hogar,Rosen,299.18
24,Juguetes Lego bt50,Juguetes,Lego,67.4
25,Deportes Spalding fZ98,Deportes,Spalding,287.36
26,Juguetes Mattel lp71,Juguetes,Mattel,110.54
27,Hogar Rosen Ft29,Hogar,Rosen,446.91
28,Juguetes Mattel rH01,Juguetes,Mattel,427.16
29,Vestuario H&M Wq56,Vestuario,H&M,36.43
30,Hogar CIC Vw01,Hogar,CIC,396.87
31,Juguetes Mattel uV15,Juguetes,Mattel,269.05
32,Deportes Wilson Qz93,Deportes,Wilson,238.83
33,Hogar Rosen vL83,Hogar,Rosen,379.85
34,Juguetes Mattel lX48,Juguetes,Mattel,437.8
35,Deportes Decathlon sU28,Deportes,Decathlon,494.59
36,Electrónica Samsung Lc77,Electrónica,Samsung,640.17
37,Electrónica Samsung xJ46,Electrónica,Samsung,717.2
38,Vestuario Nike xU47,Vestuario,Nike,27.86
39,Juguetes Lego Cv19,Juguetes,Lego,202.62
40,Deportes Wilson Pc25,Deportes,Wilson,100.38
41,Electrónica Samsung FV46,Electrónica,Samsung,1454.69
42,Electrónica Apple lW11,Electrónica,Apple,161.68
43,Electrónica Apple kV40,Electrónica,Apple,1056.75
44,Hogar IKEA Td70,Hogar,IKEA,270.21
45,Deportes Wilson kK67,Deportes,Wilson,421.26
46,Electrónica Apple oN21,Electrónica,Apple,1384.06
47,Juguetes Hasbro El07,Juguetes,Hasbro,378.08
48,Juguetes Hasbro is04,Juguetes,Hasbro,415.35
49,Electrónica Apple GE60,Electrónica,Apple,1015.79
50,Electrónica Apple fs19,Electrónica,Apple,1374.43
51,Deportes Wilson Wx57,Deportes,Wilson,378.27
52,Deportes Wilson vJ23,Deportes,Wilson,361.17
53,Hogar CIC KM27,Hogar,CIC,294.5
54,Hogar Philips LD75,Hogar,Philips,115.51
55,Vestuario Nike pc90,Vestuario,Nike,87.27
56,Juguetes Hasbro Ke48,Juguetes,Hasbro,124.09
57,Juguetes Hasbro wh90,Juguetes,Hasbro,162.25
58,Hogar Rosen jx35,Hogar,Rosen,491.45
59,Electrónica Sony gm30,Electrónica,Sony,546.88
60,Electrónica Apple Sg08,Electrónica,Apple,1394.29
61,Hogar Philips ed97,Hogar,Philips,459.48
62,Hogar CIC NW63,Hogar,CIC,18.47
63,Electrónica Apple PC36,Electrónica,Apple,754.7
64,Electrónica Xiaomi Yn85,Electrónica,Xiaomi,1338.32
65,Deportes Decathlon zC84,Deportes,Decathlon,129.5
66,Juguetes Mattel Dl80,Juguetes,Mattel,56.74
67,Vestuario Adidas ab94,Vestuario,Adidas,97.6
68,Vestuario Zara Ml11,Vestuario,Zara,45.03
69,Juguetes Hasbro fV58,Juguetes,Hasbro,423.26
70,Hogar CIC wN09,Hogar,CIC,421.28
71,Hogar IKEA Ry82,Hogar,IKEA,93.42
72,Deportes Spalding LP90,Deportes,Spalding,479.0
73,Hogar Rosen eS96,Hogar,Rosen,98.46
74,Electrónica Apple cT66,Electrónica,Apple,1272.96
75,Hogar IKEA aS32,Hogar,IKEA,227.52
76,Deportes Spalding oG00,Deportes,Spalding,11.16
77,Hogar Rosen rb21,Hogar,Rosen,101.31
78,Deportes Spalding Xc02,Deportes,Spalding,45.22
79,Hogar CIC mq14,Hogar,CIC,149.2
80,Vestuario Nike fg23,Vestuario,Nike,74.47
81,Juguetes Mattel UW28,Juguetes,Mattel,337.82
82,Juguetes Hasbro wp63,Juguetes,Hasbro,271.95
83,Deportes Wilson gm19,Deportes,Wilson,266.26
84,Juguetes Hasbro CU75,Juguetes,Hasbro,10.8
85,Deportes Wilson ei84,Deportes,Wilson,103.86
86,Vestuario Zara lE43,Vestuario,Zara,63.4
87,Vestuario H&M LP59,Vestuario,H&M,98.36
88,Hogar CIC wt42,Hogar,CIC,131.39
89,Vestuario Zara pN68,Vestuario,Zara,80.17
90,Electrónica Apple qq05,Electrónica,Apple,108.01
91,Deportes Spalding jG97,Deportes,Spalding,69.85
92,Electrónica Sony ih52,Electrónica,Sony,1024.61
93,Juguetes Mattel pa62,Juguetes,Mattel,490.2
94,Deportes Wilson ul22,Deportes,Wilson,273.49
95,Hogar Philips BO79,Hogar,Philips,422.04
96,Vestuario Zara fP58,Vestuario,Zara,41.03
97,Hogar Rosen iR01,Hogar,Rosen,444.26
98,Deportes Spalding ov45,Deportes,Spalding,411.19
99,Juguetes Mattel CM90,Juguetes,Mattel,131.24
100,Deportes Wilson rq80,Deportes,Wilson,357.58
101,Electrónica Apple xB63,Electrónica,Apple,210.64
102,Deportes Decathlon vP34,Deportes,Decathlon,265.68
103,Deportes Wilson fA52,Deportes,Wilson,454.34
104,Vestuario Zara xk60,Vestuario,Zara,23.67
105,Hogar CIC VE61,Hogar,CIC,218.65
106,Juguetes Lego Ou81,Juguetes,Lego,378.98
107,Electrónica Sony Ac27,Electrónica,Sony,753.72
108,Hogar CIC zo69,Hogar,CIC,285.51
109,Deportes Wilson iF10,Deportes,Wilson,297.48
110,Deportes Wilson Fi48,Deportes,Wilson,425.81
111,Hogar CIC kx45,Hogar,CIC,180.2
112,Deportes Spalding OW04,Deportes,Spalding,395.66
113,Deportes Decathlon Nh87,Deportes,Decathlon,159.94
114,Juguetes Mattel PQ59,Juguetes,Mattel,243.64
115,Electrónica Samsung uv34,Electrónica,Samsung,1389.98
116,Hogar IKEA El51,Hogar,IKEA,320.14
117,Juguetes Hasbro hw05,Juguetes,Hasbro,264.94
118,Juguetes Lego br41,Juguetes,Lego,110.62
119,Vestuario Nike ed63,Vestuario,Nike,88.99
120,Vestuario Zara Kb00,Vestuario,Zara,17.5
121,Hogar CIC RZ58,Hogar,CIC,62.01
122,Hogar CIC QE66,Hogar,CIC,199.76
123,Electrónica Sony vu46,Electrónica,Sony,479.26
124,Hogar Rosen vc02,Hogar,Rosen,81.5
125,Deportes Decathlon ib01,Deportes,Decathlon,204.68
126,Vestuario Nike OE80,Vestuario,Nike,106.27
127,Hogar IKEA Wg05,Hogar,IKEA,421.77
128,Electrónica Samsung wa94,Electrónica,Samsung,813.19
