id_transaccion,fecha_hora,id_usuario,id_producto,id_bodega,cantidad,precio_final_local,canal_venta,clics_previos,dias_demora_real
1,2026-04-24T10:48:11,9318,3974,313,1,942.34,Web,2,4
2,2025-11-29T22:35:40,9577,125,1712,1,818720.0,Web,2,3
3,2025-03-18T04:24:26,6940,4017,559,4,17835084.09,Web,51,4
4,2024-12-25T11:39:35,8956,3189,600,2,4844618.62,App,26,2
5,2024-12-29T03:31:12,2786,544,1652,1,3193320.0,Web,2,4
6,2025-09-10T20:34:36,8789,788,1216,4,168.21,Web,46,5
7,2025-11-29T14:32:35,7167,69,1131,1,397864.4,Web,5,7
8,2025-06-05T17:00:19,7931,591,827,4,249853.17,App,58,6
9,2025-12-09T18:23:31,5078,1213,1823,5,347743.48,Web,30,6
10,2025-02-05T12:19:22,6034,2816,1690,3,1738537.52,Web,58,1
11,2025-09-15T04:50:47,3521,1009,1980,5,293596.87,App,30,7
12,2025-07-17T00:33:11,546,137,1781,1,240752.8,Web,1,4
13,2025-02-16T13:48:05,7204,1267,95,1,78922.4,Web,7,4
14,2025-01-22T22:48:05,3910,2388,1353,2,1357441.55,Web,27,5
15,2025-01-21T10:30:07,3705,631,1006,1,4192560.0,Web,2,1
16,2025-10-03T04:47:36,5509,1076,1317,3,119594.59,Web,23,4
17,2025-04-08T06:13:18,6016,4597,829,1,4844036.06,App,18,2
18,2025-08-15T07:04:32,4695,4325,32,1,826.99,Web,3,3
19,2025-10-11T20:06:12,7326,1956,1085,1,1794.82,Web,6,2
20,2025-03-17T14:55:03,2084,4943,235,1,445.76,Web,6,4
21,2025-10-28T05:05:27,1623,1302,137,2,528649.82,App,60,2
22,2025-01-16T11:28:57,7147,4407,1504,4,4505.5,Web,60,7
23,2025-09-15T02:14:35,319,2967,1624,2,8926.55,App,39,2
24,2026-01-12T18:21:48,5614,4420,771,4,635912.09,App,50,5
25,2025-10-14T07:28:39,1857,4334,1662,3,373026.67,App,39,3
26,2026-02-04T19:49:53,5943,4987,1395,1,1058320.0,Web,8,1
27,2025-05-24T21:46:30,4182,2240,152,1,101501.2,Web,2,5
28,2026-01-12T17:40:28,5112,3215,200,1,162880.0,Web,8,3
29,2025-06-02T02:19:27,2741,4850,893,1,102356.6,Web,2,4
30,2025-09-28T17:13:42,4403,4340,1367,1,117760.0,Web,7,1
31,2025-11-06T21:13:11,9781,3289,1366,2,10906351.95,App,24,5
32,2025-05-08T11:34:58,9738,3265,444,5,3612.24,Web,22,7
33,2025-03-31T17:02:01,1829,3615,405,1,49237.2,Web,3,3
34,2025-10-04T21:30:29,1312,582,1372,2,659.92,App,47,4
35,2026-04-10T10:48:19,5620,2900,486,2,1245253.1,App,23,2
36,2026-05-17T13:52:46,4428,1214,1533,3,9031.69,App,29,3
37,2025-05-27T01:00:38,8695,2058,467,5,20800842.31,Web,20,5
38,2026-02-03T03:08:53,5866,4720,837,1,1532.85,Web,8,2
39,2025-11-13T01:23:31,716,323,1281,1,1497800.0,Web,6,2
40,2026-01-04T23:19:27,5073,106,1642,5,5526740.39,App,37,5
41,2025-06-19T19:38:55,1957,2994,227,1,231840.0,Web,5,2
42,2025-10-21T15:27:06,206,3128,915,1,174.86,Web,3,4
43,2025-07-07T15:29:10,5939,1888,14,4,1510095.4,App,45,6
44,2026-01-04T11:18:57,1254,1480,149,1,345374.8,Web,5,7
45,2026-05-29T11:25:34,9838,872,1937,4,1027858.45,Web,59,2
46,2025-03-20T03:47:06,7163,500,28,2,2970987.02,Web,60,3
47,2025-07-03T00:09:26,9764,1224,900,2,129191.71,Web,28,5
48,2025-05-07T23:47:37,3783,2094,429,1,68253.4,Web,5,1
49,2024-12-19T06:40:30,858,624,138,1,1396160.0,Web,8,3
50,2026-05-28T18:43:38,4511,4491,525,1,308.92,Web,6,4
51,2025-05-10T18:02:36,2198,1324,1780,1,368.62,Web,6,3
52,2025-12-15T01:56:48,7549,3532,1790,4,4184534.01,Web,31,7
53,2025-01-14T23:36:45,3690,920,684,1,1448.1,Web,5,2
54,2026-01-24T04:50:55,845,3242,1648,1,2277240.0,Web,8,1
55,2026-05-11T06:41:14,3856,3608,1567,1,42.15,Web,7,1
56,2025-11-01T06:33:59,7826,2452,610,4,145095.18,Web,38,4
57,2025-03-17T17:44:07,2391,3771,8,1,1323720.0,Web,6,3
58,2026-01-03T15:42:04,2527,3870,1282,1,54172.2,Web,5,5
59,2025-02-05T14:53:16,246,2703,214,1,252720.0,Web,8,4
60,2025-03-04T12:32:21,5542,3588,1876,2,1530.99,Web,33,5
61,2026-04-15T06:08:36,7777,3459,1795,3,291998.87,Web,36,1
62,2025-11-20T05:09:15,2095,1449,738,1,18207.8,Web,7,4
63,2025-01-11T03:28:02,5996,2576,1507,1,176879.8,Web,8,1
64,2025-06-19T11:38:00,5654,2880,1339,2,2058660.84,App,59,6
65,2025-02-02T20:28:24,4935,4472,577,3,532.68,Web,28,3
66,2025-01-10T18:52:52,7230,4174,1154,1,93078.8,Web,5,2
67,2026-01-16T03:07:48,7496,2234,1027,4,1319.01,App,51,9
68,2025-09-23T23:42:38,4308,4529,451,4,672386.81,App,33,6
69,2025-11-29T09:34:31,4954,2909,891,2,312038.35,App,50,3
70,2025-07-05T04:22:44,9468,99,609,3,1226.04,App,26,5
71,2026-04-02T11:18:14,3292,570,1061,1,1729.99,Web,3,5
72,2025-09-27T03:55:27,2120,4977,849,5,738224.52,Web,32,5
73,2025-08-14T22:59:16,8726,3553,498,1,781.16,Web,4,4
74,2025-11-15T09:47:29,6869,2864,193,1,293524.4,Web,3,3
75,2025-01-22T08:49:24,6190,4895,1472,2,1501157.48,App,58,3
76,2025-12-21T01:04:40,821,4350,676,3,3069.28,App,42,1
77,2026-06-04T02:27:02,7912,4013,1860,1,1548.38,Web,3,4
78,2025-12-05T20:58:03,8729,852,1359,1,784.05,Web,7,7
79,2025-04-29T18:57:34,5296,818,1488,4,379.67,App,23,2
80,2024-12-26T23:44:02,2165,1367,417,4,141448.4,Web,26,6
